NASA Surface meteorology and Solar Energy: Daily Averaged Data
Dates (month/day/year): 01/01/1988 through 12/31/2004
Location: Latitude 34   Longitude -121
Elevation (meters): Average for one degree lat/lon region = 204   Site = na
Climate zone: 3 (reference Briggs et al, http://www.energycodes.gov)
Parameter(s):
swv_dwn     Average Insolation Incident On A Horizontal Surface (kWh/m^2/day) 

YEAR MO DY swv_dwn
1990 09 16    5.84
1990 09 17    4.86
1990 09 18    5.43
1990 09 19    6.06
1990 09 20    4.30
1990 09 21    3.99
1990 09 22    3.39
1990 09 23    5.50
1990 09 24    5.25
1990 09 25    5.70
1990 09 26    5.78
1990 09 27    5.42
1990 09 28    3.17
1990 09 29    2.27
1990 09 30    4.06
1990 10 01    3.18
1990 10 02    3.64
1990 10 03    5.48
1990 10 04    4.03
1990 10 05    5.24
1990 10 06    4.00
1990 10 07    5.67
1990 10 08    5.49
1990 10 09    5.59
1990 10 10    5.62
1990 10 11    4.95
1990 10 12    4.83
1990 10 13    4.70
1990 10 14    3.92
1990 10 15    4.34
1990 10 16    4.10
1990 10 17    4.15
1990 10 18    3.22
1990 10 19    4.59
1990 10 20    4.82
1990 10 21    4.73
1990 10 22    4.82
1990 10 23    4.67
1990 10 24    4.57
1990 10 25    4.16
1990 10 26    4.43
1990 10 27    3.88
1990 10 28    4.36
1990 10 29    4.24
1990 10 30    4.49
1990 10 31    3.74
1990 11 01    4.25
1990 11 02    4.07
1990 11 03    4.44
1990 11 04    4.10
1990 11 05    4.01
1990 11 06    4.14
1990 11 07    3.99
1990 11 08    3.94
1990 11 09    3.98
1990 11 10    3.95
1990 11 11    2.82
1990 11 12    3.67
1990 11 13    3.59
1990 11 14    3.08
1990 11 15    3.28
1990 11 16    2.49
1990 11 17    3.51
1990 11 18    3.34
1990 11 19    1.76
1990 11 20    3.54
1990 11 21    3.50
1990 11 22    3.56
1990 11 23    3.54
1990 11 24    3.66
1990 11 25    2.33
1990 11 26    3.48
1990 11 27    3.38
1990 11 28    3.59
1990 11 29    3.34
1990 11 30    3.30
1990 12 01    3.65
1990 12 02    3.70
1990 12 03    3.59
1990 12 04    2.76
1990 12 05    2.99
1990 12 06    3.21
1990 12 07    3.26
1990 12 08    3.41
1990 12 09    3.26
1990 12 10    3.24
1990 12 11    2.35
1990 12 12    2.90
1990 12 13    2.22
1990 12 14    3.27
1990 12 15    2.48
1990 12 16    2.97
1990 12 17    3.26
1990 12 18    3.15
1990 12 19    1.78
1990 12 20    2.64
1990 12 21    2.91
1990 12 22    3.36
1990 12 23    3.14
1990 12 24    3.36
1990 12 25    3.31
1990 12 26    3.24
1990 12 27    3.10
1990 12 28    2.75
1990 12 29    3.25
1990 12 30    3.35
1990 12 31    3.24
1991 01 01    3.07
1991 01 02    1.52
1991 01 03    0.97
1991 01 04    1.17
1991 01 05    3.06
1991 01 06    1.33
1991 01 07    2.76
1991 01 08    2.88
1991 01 09    1.75
1991 01 10    3.34
1991 01 11    2.91
1991 01 12    3.40
1991 01 13    3.42
1991 01 14    3.54
1991 01 15    3.36
1991 01 16    3.49
1991 01 17    3.61
1991 01 18    3.73
1991 01 19    2.92
1991 01 20    2.69
1991 01 21    3.45
1991 01 22    3.86
1991 01 23    3.33
1991 01 24    2.95
1991 01 25    2.68
1991 01 26    3.51
1991 01 27    3.85
1991 01 28    1.99
1991 01 29    4.02
1991 01 30    3.77
1991 01 31    2.79
1991 02 01    4.08
1991 02 02    1.45
1991 02 03    3.52
1991 02 04    3.42
1991 02 05    3.24
1991 02 06    4.45
1991 02 07    3.79
1991 02 08    4.07
1991 02 09    4.24
1991 02 10    4.45
1991 02 11    3.32
1991 02 12    4.54
1991 02 13    4.35
1991 02 14    3.87
1991 02 15    2.32
1991 02 16    3.27
1991 02 17    4.33
1991 02 18    4.92
1991 02 19    4.95
1991 02 20    4.69
1991 02 21    4.02
1991 02 22    4.41
1991 02 23    5.00
1991 02 24    4.40
1991 02 25    3.65
1991 02 26    4.30
1991 02 27    1.12
1991 02 28    3.39
1991 03 01    3.77
1991 03 02    5.21
1991 03 03    2.26
1991 03 04    0.90
1991 03 05    3.56
1991 03 06    5.60
1991 03 07    5.73
1991 03 08    5.83
1991 03 09    5.05
1991 03 10    5.22
1991 03 11    5.76
1991 03 12    5.78
1991 03 13    3.47
1991 03 14    5.28
1991 03 15    4.33
1991 03 16    4.98
1991 03 17    1.12
1991 03 18    0.80
1991 03 19    5.40
1991 03 20    4.35
1991 03 21    6.14
1991 03 22    5.99
1991 03 23    5.34
1991 03 24    3.78
1991 03 25    5.38
1991 03 26    2.03
1991 03 27    6.14
1991 03 28    6.63
1991 03 29    6.36
